Algoritmo,Tamaño,Tiempo(s)
Naiv,128,0.189305
LoopUnrollingTwo,128,0.171847
LoopUnrollingFour,128,0.141660
WinogradOriginal,128,0.074046
Strassen,128,2.049060
III_3_SequentialBlock,128,0.508743
III_4_ParallelBlock,128,1.279211
IV_3_SequentialBlock,128,0.754895
IV_4_ParallelBlock,128,1.415721
IV_5_EnhancedParallelBlock,128,0.072628
