Algoritmo,Tamaño,Tiempo(s)
Naiv,256,1.818538
LoopUnrollingTwo,256,1.842472
LoopUnrollingFour,256,1.369716
WinogradOriginal,256,0.315977
Strassen,256,14.320028
III_3_SequentialBlock,256,4.636889
III_4_ParallelBlock,256,1.508811
IV_3_SequentialBlock,256,4.569966
IV_4_ParallelBlock,256,1.340309
IV_5_EnhancedParallelBlock,256,0.358016
