Algoritmo,Tamaño,Tiempo(s)
Naiv,32,0.0002537
LoopUnrollingTwo,32,0.0002904
LoopUnrollingFour,32,0.0002358
WinogradOriginal,32,0.0001741
Strassen,32,0.0304039
III_3_SequentialBlock,32,0.0003777
III_4_ParallelBlock,32,0.0002537
IV_3_SequentialBlock,32,0.0002136
IV_4_ParallelBlock,32,0.0002268
IV_5_EnhancedParallelBlock,32,0.0009136
