Algoritmo,Tamaño,Tiempo(s)
Naiv,16,3.53e-05
LoopUnrollingTwo,16,3.07e-05
LoopUnrollingFour,16,3.4e-05
WinogradOriginal,16,3.27e-05
Strassen,16,0.0040982
III_3_SequentialBlock,16,4.85e-05
III_4_ParallelBlock,16,5.33e-05
IV_3_SequentialBlock,16,3.01e-05
IV_4_ParallelBlock,16,2.78e-05
IV_5_EnhancedParallelBlock,16,0.0006898
