Algoritmo,Tamaño,Tiempo(s)
Naiv,2,0.000014
LoopUnrollingTwo,2,8.100000e-06
LoopUnrollingFour,2,8.499999e-06
WinogradOriginal,2,0.000209
Strassen,2,0.000038
III_3_SequentialBlock,2,9.399999e-06
III_4_ParallelBlock,2,1.246669
IV_3_SequentialBlock,2,0.000022
IV_4_ParallelBlock,2,1.146523
IV_5_EnhancedParallelBlock,2,0.000966
