Algoritmo,Tamaño,Tiempo(s)
Naiv,8,0.000108
LoopUnrollingTwo,8,0.000089
LoopUnrollingFour,8,0.000095
WinogradOriginal,8,0.000685
Strassen,8,0.001666
III_3_SequentialBlock,8,0.000233
III_4_ParallelBlock,8,1.484616
IV_3_SequentialBlock,8,0.000155
IV_4_ParallelBlock,8,1.543183
IV_5_EnhancedParallelBlock,8,0.001748
