Algoritmo,Tamaño,Tiempo(s)
Naiv,2,2.8e-06
LoopUnrollingTwo,2,2.2e-06
LoopUnrollingFour,2,2e-06
WinogradOriginal,2,2.17e-05
Strassen,2,3.67e-05
III_3_SequentialBlock,2,3.6e-06
III_4_ParallelBlock,2,2.2e-06
IV_3_SequentialBlock,2,2.9e-06
IV_4_ParallelBlock,2,2.7e-06
IV_5_EnhancedParallelBlock,2,0.0008913
