Algoritmo,Tamaño,Tiempo(s)
Naiv,8,7.7e-06
LoopUnrollingTwo,8,1.13e-05
LoopUnrollingFour,8,7.2e-06
WinogradOriginal,8,1.03e-05
Strassen,8,0.0012885
III_3_SequentialBlock,8,1.04e-05
III_4_ParallelBlock,8,1.18e-05
IV_3_SequentialBlock,8,1.24e-05
IV_4_ParallelBlock,8,9.1e-06
IV_5_EnhancedParallelBlock,8,0.0007634
