Algoritmo,Tamaño,Tiempo(s)
Naiv,4,2.8e-06
LoopUnrollingTwo,4,2.6e-06
LoopUnrollingFour,4,2.6e-06
WinogradOriginal,4,3.3e-06
Strassen,4,8.46e-05
III_3_SequentialBlock,4,3.1e-06
III_4_ParallelBlock,4,3e-06
IV_3_SequentialBlock,4,3.6e-06
IV_4_ParallelBlock,4,5e-06
IV_5_EnhancedParallelBlock,4,0.0007437
