Algoritmo,Tamaño,Tiempo(s)
Naiv,32,0.003042
LoopUnrollingTwo,32,0.002767
LoopUnrollingFour,32,0.002661
WinogradOriginal,32,0.005332
Strassen,32,0.044253
III_3_SequentialBlock,32,0.008028
III_4_ParallelBlock,32,1.193020
IV_3_SequentialBlock,32,0.008682
IV_4_ParallelBlock,32,1.917809
IV_5_EnhancedParallelBlock,32,0.018599
