Algoritmo,Tamaño,Tiempo(s)
Naiv,16,0.000399
LoopUnrollingTwo,16,0.000362
LoopUnrollingFour,16,0.000352
WinogradOriginal,16,0.001415
Strassen,16,0.006285
III_3_SequentialBlock,16,0.001034
III_4_ParallelBlock,16,1.977288
IV_3_SequentialBlock,16,0.001147
IV_4_ParallelBlock,16,1.612144
IV_5_EnhancedParallelBlock,16,0.016512
