Algoritmo,Tamaño,Tiempo(s)
Naiv,64,0.0021838
LoopUnrollingTwo,64,0.0018327
LoopUnrollingFour,64,0.0021717
WinogradOriginal,64,0.0012802
Strassen,64,0.200864
III_3_SequentialBlock,64,0.0030175
III_4_ParallelBlock,64,0.0018914
IV_3_SequentialBlock,64,0.0017538
IV_4_ParallelBlock,64,0.0026079
IV_5_EnhancedParallelBlock,64,0.0014489
