Algoritmo,Tamaño,Tiempo(s)
Naiv,256,0.119924
LoopUnrollingTwo,256,0.112768
LoopUnrollingFour,256,0.109569
WinogradOriginal,256,0.0797464
Strassen,256,10.2882
III_3_SequentialBlock,256,0.205889
III_4_ParallelBlock,256,0.125357
IV_3_SequentialBlock,256,0.101055
IV_4_ParallelBlock,256,0.0979949
IV_5_EnhancedParallelBlock,256,0.0686487
