Algoritmo,Tamaño,Tiempo(s)
Naiv,128,0.0149654
LoopUnrollingTwo,128,0.0142693
LoopUnrollingFour,128,0.0144781
WinogradOriginal,128,0.0105639
Strassen,128,1.37622
III_3_SequentialBlock,128,0.0241349
III_4_ParallelBlock,128,0.0148629
IV_3_SequentialBlock,128,0.0133729
IV_4_ParallelBlock,128,0.0124713
IV_5_EnhancedParallelBlock,128,0.0072593
