Algoritmo,Tamaño,Tiempo(s)
Naiv,64,0.041824
LoopUnrollingTwo,64,0.067633
LoopUnrollingFour,64,0.043019
WinogradOriginal,64,0.034938
Strassen,64,0.386487
III_3_SequentialBlock,64,0.063992
III_4_ParallelBlock,64,1.219786
IV_3_SequentialBlock,64,0.068029
IV_4_ParallelBlock,64,1.251140
IV_5_EnhancedParallelBlock,64,0.019440
